"Source:","/home/soeren/repos/sgh_keyboard/sgh-split-kb/sgh-split-kb.kicad_sch"
"Date:","Tue 21 Jun 2022 08:57:25 PM CEST"
"Tool:","Eeschema (6.0.5)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D1","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D2","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D3","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D4","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D5","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D6","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D7","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D8","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D9","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D10","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D11","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D12","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D13","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D14","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D15","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D16","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D17","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D18","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D19","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D20","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D21","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D22","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D23","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D24","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D25","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D26","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D27","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D28","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D29","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D30","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D31","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D32","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D33","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D34","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D35","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D36","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D37","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D38","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D39","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D40","1N4148","Diode:1N4148","keebio:Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","SW1","MX",":MX_1","keebio:MX-Alps-Choc-1U",""
"","","SW2","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW3","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW4","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW5","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW6","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW7","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW8","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW9","MX",":MX_1","keebio:MX-Alps-Choc-1U",""
"","","SW10","MX",":MX_1","keebio:MX-Alps-Choc-1U",""
"","","SW11","MX",":MX_1","keebio:MX-Alps-Choc-1U",""
"","","SW12","MX",":MX_1","keebio:MX-Alps-Choc-1U",""
"","","SW13","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW14","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW15","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW16","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW17","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW18","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW19","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
"","","SW20","MX","keebio:MX","keebio:MX-Alps-Choc-1U",""
